,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Glen Scotia Victoriana,54.2,70,72.95
1,Glen Scotia Double Cask,46,70,48.95
2,Glen Scotia 12 Year Old Seasonal Release,53.3,70,79.95
3,Glen Scotia Double Cask,46,70,39.95
4,Glen Scotia 15 Year Old,46,70,64.95
5,Glen Scotia 18 Year Old,46,70,110
6,Glen Scotia Double Cask,46,20,20.95
7,Glen Scotia Double Cask,46,20,18.95
8,Springbank 1995,50.6,70,"3,000"
9,Glen Scotia Tasting Set (Double Cask and 15 Year Old),46,40,43.95
10,Glen Scotia 25 Year Old,48.8,70,495
11,Springbank 1995,46,70,750
12,SMWS 27.12,57.2,75,"2,250"
13,Springbank 1966,52.5,70,"10,000"
14,Springbank 1966 Local Barley,52,70,"10,000"
15,Longrow 1974,46,75,"4,000"
16,Springbank 1967,46,70,"4,000"
17,Springbank 25 Year Old,46,70,"3,000"
18,Springbank 1967,43.1,70,"4,500"
19,SMWS 27.32 (Springbank),51.9,70,"8,000"
20,Springbank 1966,47.1,70,"6,000"
21,SMWS 27.16 (Springbank),57.8,75,"3,250"
22,Springbank 1970,54.4,70,"4,500"
23,Springbank 1965,50.6,70,"5,500"
24,Glen Scotia Victoriana,54.2,70,72.95
25,Glen Scotia Double Cask,46,70,48.95
26,Glen Scotia 12 Year Old Seasonal Release,53.3,70,79.95
27,Glen Scotia Double Cask,46,70,39.95
28,Glen Scotia 15 Year Old,46,70,64.95
29,Glen Scotia 18 Year Old,46,70,110
30,Glen Scotia Double Cask,46,20,20.95
31,Glen Scotia Double Cask,46,20,18.95
32,Springbank 1995,50.6,70,"3,000"
33,Glen Scotia Tasting Set (Double Cask and 15 Year Old),46,40,43.95
34,Glen Scotia 25 Year Old,48.8,70,495
35,Springbank 1995,46,70,750
36,SMWS 27.12,57.2,75,"2,250"
37,Springbank 1966,52.5,70,"10,000"
38,Springbank 1966 Local Barley,52,70,"10,000"
39,Longrow 1974,46,75,"4,000"
40,Springbank 1967,46,70,"4,000"
41,Springbank 25 Year Old,46,70,"3,000"
42,Springbank 1967,43.1,70,"4,500"
43,SMWS 27.32 (Springbank),51.9,70,"8,000"
